Genus_species,CAAB,Region,Family,Min.depth,Max Depth,Common name,Primary Ecosystem
Carcharhinus amboinensis,37018026,Gascoyne Coast,Carcharhinidae,0,100,Pigeye Shark,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Carcharhinus amboinensis,37018026,North Coast,Carcharhinidae,0,100,Pigeye Shark,"Coastal (0-40m)
Shelf Demersal (40-200m)
Pelagic, Shelf (0-200m)"
Carcharhinus brachyurus,37018001,South Coast,Carcharhinidae,0,100,Bronze Whaler,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus brachyurus,37018001,West Coast,Carcharhinidae,0,100,Bronze Whaler,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus brevipinna,37018023,Gascoyne Coast,Carcharhinidae,1,75,Spinner Shark,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus brevipinna,37018023,North Coast,Carcharhinidae,1,75,Spinner Shark,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus brevipinna,37018023,West Coast,Carcharhinidae,1,75,Spinner Shark,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus cautus,37018034,Gascoyne Coast,Carcharhinidae,0,15,Nervous Shark,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus cautus,37018034,North Coast,Carcharhinidae,0,15,Nervous Shark,"Coastal (0-40m)
Pelagic, Shelf (0-200m)"
Carcharhinus coatesi,37018009,Gascoyne Coast,Carcharhinidae,3,170,Whitecheek Shark,"Coastal (0-40m)
Shelf Demersal (40-200m)"
Carcharhinus coatesi,37018009,North Coast,Carcharhinidae,3,170,Whitecheek Shark,"Coastal (0-40m)
Shelf Demersal (40-200m)"
